,City,Urban station,Urban Lat,Urban Lon,Urban brightness,Urban start,Urban end,Rural station,Rural Lat,Rural Lon,Rural brightness,Rural start,Rural end,Urban distance,Rural distance
0,Mesa,USC00022782,33.419,-111.644,63.0,2002-08-01,2016-10-31,USC00020288,33.462,-111.481,13.0,1987-05-01,2016-10-31,0.0922154548588,0.257911899793
1,Grand Prairie,USC00410337,32.757,-97.073,63.0,1893-01-01 00:00:00,2016-09-30,USR0000TLBJ,33.172,-97.375,8.0,2000-01-01,2016-09-30,0.0894554902354,0.60270872399
2,Irvine,USC00047888,33.744,-117.866,63.0,1916-05-01,2016-11-30,USR0000CFRE,33.808,-117.711,18.0,1991-07-01,2016-11-30,0.0730972120944,0.17443683721
3,New Haven,USC00307134,40.961,-72.715,37.0,1938-03-01,2016-09-30,USC00065445,41.972,-73.22,7.0,1884-11-01 00:00:00,2016-12-31,0.413123112799,0.716986107961
4,Fort Lauderdale,USC00083168,26.14,-80.106,63.0,1952-04-01,2016-09-30,USR0000FCAC,25.39,-80.68,4.0,1999-12-01,2016-11-30,0.0360012306885,0.919938928218
5,Long Beach,USW00023129,33.811,-118.146,63.0,1949-01-01,2016-12-31,USR0000CCHI,34.331,-118.03,6.0,1986-02-01,2016-11-30,0.0268816270085,0.558897773363
6,Hartford,USW00014752,41.736,-72.65,62.0,1920-01-01,2016-12-31,USC00060227,41.841,-73.008,15.0,1990-08-01,2016-10-31,0.0453364882865,0.335624394659
7,Providence,USC00379423,41.984,-71.49,60.0,1967-11-01,2016-10-31,USC00375270,41.856,-71.733,12.0,1974-10-01,2016-10-31,0.179342417792,0.319929304659
8,Birmingham,USC00013781,33.272,-86.833,61.0,2003-12-01,2016-10-31,USC00010505,33.452,-87.357,7.0,1957-02-01,2016-12-31,0.258130478215,0.537693348763
9,St. Petersburg,USC00087205,28.023,-82.142,63.0,1892-09-01 00:00:00,2016-10-31,USC00083153,27.57,-82.137,4.0,2001-08-01,2016-09-30,0.593731171695,0.578268662909
10,Virginia Beach,USW00013769,36.816,-76.033,63.0,1945-03-01,2016-12-31,USC00440385,36.661,-75.911,5.0,1953-12-01,2016-12-31,0.0661433870176,0.203661876811
11,Oakland,USC00046336,37.798,-122.264,63.0,1970-10-01,2016-12-31,USR0000CTRA,37.833,-122.066,13.0,1994-04-01,2016-09-30,0.0518239654838,0.167819009944
12,West Palm Beach,USC00086764,26.826,-80.148,63.0,2002-11-01,2016-10-31,USC00088368,26.47,-80.64,4.0,2002-11-01,2016-09-30,0.0845700292207,0.585049554758
13,Louisville,USW00013810,38.228,-85.663,63.0,2000-09-01,2016-10-31,USC00150955,37.956,-86.116,12.0,1999-10-01,2016-10-31,0.0857561701697,0.455276016436
14,Charlotte,USC00313356,35.265,-81.143,63.0,1890-01-01 00:00:00,2016-09-30,USC00389625,34.938,-81.225,10.0,2005-04-01,2016-09-30,0.318662538653,0.476739959937
15,Columbus,USC00338951,40.126,-82.943,62.0,1952-05-01,2016-10-31,USC00331404,40.291,-82.654,10.0,1950-12-01,2016-12-31,0.153405945741,0.45786394004
16,San Bernardino,USC00047470,33.951,-117.388,63.0,1893-01-01 00:00:00,2016-11-30,USR0000CBPI,34.319,-117.013,5.0,2001-12-01,2016-11-30,0.190863380349,0.349051650445
18,St. Paul,USC00218450,44.984,-93.177,63.0,1993-09-01,2016-10-31,USR0000MCSA,45.302,-93.101,15.0,2003-05-01,2016-11-30,0.100347921619,0.358371845732
19,Tucson,USR0000ASAG,32.316,-110.813,47.0,1995-06-01,2016-08-31,USR0000ASOL,32.403,-110.711,4.0,1999-04-01,2016-10-31,0.135087357961,0.266910739463
20,Fresno,USC00043256,36.767,-119.709,63.0,1999-01-01,2016-06-30,USR0000CFAN,36.883,-119.465,4.0,1990-05-01,2016-09-30,0.0668266638283,0.336386270526
21,Albuquerque,USC00296754,35.139,-106.71,63.0,1994-04-01,2016-05-31,USC00294366,35.388,-106.543,5.0,1953-09-01,2016-10-31,0.0766366357833,0.299620119024
22,Kansas City,USC00234154,39.064,-94.386,62.0,1990-01-01,2016-10-31,USC00146333,39.117,-95.41,7.0,1967-06-01,2017-03-31,0.222309937905,0.805966726281
23,Tulsa,USC00341828,36.322,-95.58,50.0,1900-04-01,2016-10-31,USC00344812,36.15,-96.25,16.0,1957-08-01,2016-10-31,0.404125268157,0.321382169143
24,Ft. Worth,USW00013961,32.819,-97.361,63.0,1946-09-01,2016-10-31,USC00413289,32.847,-97.476,27.0,2003-01-01,2016-09-30,0.0817559261367,0.173030509097
25,Austin,USC00410431,30.224,-97.732,63.0,2004-02-01,2016-06-30,USR0000TBEL,30.566,-98.038,4.0,2000-05-01,2016-09-30,0.0442814737264,0.420222446611
26,El Paso,USC00298535,32.282,-106.759,63.0,1959-04-01,2016-08-31,USC00294426,32.616,-106.74,3.0,1914-06-01,2016-12-31,0.560378001782,0.867078453129
27,Orlando,USC00082229,29.018,-81.31,62.0,1892-01-01 00:00:00,2016-10-31,USR0000FCEN,29.105,-81.63,6.0,2003-02-01,2016-11-30,0.51282725413,0.645397082236
28,Jacksonville,USC00084366,30.287,-81.392,61.0,1944-07-01,2016-12-31,USW00063856,30.807,-81.459,4.0,2004-12-01,2016-09-30,0.281296034002,0.521559799127
29,Indianapolis,USW00093819,39.707,-86.28,62.0,1948-01-01,2016-12-31,USR0000IHAR,39.0,-86.422,5.0,2002-07-01,2016-11-30,0.118056907311,0.791177862559
30,Richmond,USC00446656,37.238,-77.392,63.0,1980-06-01,2016-09-30,USC00442009,38.202,-77.374,5.0,1959-01-01,2016-11-30,0.317361703692,0.6563936625
31,Baltimore,USW00093784,39.281,-76.608,63.0,1998-05-01,2017-02-28,USC00185934,39.719,-76.802,13.0,1988-03-01,2016-08-31,0.0224557784168,0.456835640099
32,San Jose,USW00023293,37.359,-121.923,63.0,1998-07-01,2016-10-31,USC00045933,37.343,-121.642,5.0,1948-07-01,2016-12-31,0.0938808077841,0.212390993289
33,Sacramento,USW00023271,38.555,-121.416,63.0,1877-07-01 00:00:00,2016-12-31,USR0000CBLT,38.59,-120.933,6.0,1990-05-01,2016-09-30,0.0576278744074,0.537246944997
34,Las Vegas,USW00053123,36.211,-115.195,63.0,2000-10-01,2016-06-30,USC00262243,36.438,-115.36,5.0,1940-04-01,2016-12-31,0.0250261759392,0.267550564122
35,Portland,USC00356750,45.56,-122.538,63.0,1996-04-01,2016-10-31,USR0000OEAG,45.368,-122.331,12.0,2002-02-01,2016-10-31,0.147510282575,0.380664329489
36,Salt Lake City,USC00421759,40.618,-111.783,52.0,1941-09-01,2016-09-30,USS0011J37S,40.87,-111.72,7.0,1993-10-01,2016-10-31,0.215124103157,0.230529182446
37,Omaha,USW00014942,41.31,-95.899,63.0,1948-01-01,2016-12-31,USC00255362,41.143,-96.48,9.0,1968-10-01,2016-12-31,0.131219965856,0.479915091781
38,Oklahoma City,USC00346386,35.18,-97.437,58.0,1894-11-01 00:00:00,2016-10-31,USC00345779,35.505,-96.977,7.0,1894-01-01 00:00:00,2016-12-31,0.301325585788,0.542810298678
39,San Antonio,USC00416276,29.719,-98.118,62.0,1893-01-01 00:00:00,2016-10-31,USW00012971,29.703,-98.028,10.0,1996-07-01,2016-10-31,0.453021145873,0.525590888323
40,Raleigh,USC00317079,35.794,-78.698,63.0,1892-01-01 00:00:00,2016-10-31,USC00316122,35.68,-78.915,14.0,2003-04-01,2016-10-31,0.0587852417436,0.303851772229
41,Cleveland,USW00014820,41.413,-81.86,62.0,1938-05-01,2016-12-31,USC00333780,41.307,-81.013,11.0,1893-06-01 00:00:00,2016-11-30,0.174565420623,0.701203433689
42,Cincinnati,USC00331515,39.154,-84.623,62.0,1970-08-01,2016-10-31,USR0000KCRI,38.769,-84.601,18.0,2003-03-01,2016-09-30,0.166264416206,0.418469522183
43,Nashville,USC00401039,35.99,-86.778,61.0,2001-10-01,2016-10-31,USC00403636,36.34,-86.827,16.0,2000-05-01,2016-08-31,0.179985326184,0.176406129774
44,Memphis,USC00226527,34.953,-89.829,62.0,1998-03-01,2016-10-31,USC00033821,35.687,-90.096,9.0,1959-05-01,2016-12-31,0.239006142427,0.575083383761
45,Norfolk,USC00446147,36.87,-76.228,63.0,2003-04-01,2016-06-30,USC00448837,36.595,-76.438,5.0,2004-07-01,2016-07-31,0.0557337410998,0.299943553185
46,Milwaukee,USC00473391,42.937,-88.029,63.0,2004-10-01,2016-10-31,USC00478316,42.967,-88.549,13.0,1995-01-01,2016-10-31,0.158947375676,0.634837933676
47,Buffalo,USC00306047,43.021,-78.846,63.0,2004-01-01,2016-06-30,USC00301625,42.647,-78.711,18.0,2005-03-01,2016-10-31,0.145063004992,0.28782037457
48,Pittsburgh,USC00362574,40.501,-80.083,60.0,1991-09-01,2016-10-31,USC00365212,40.458,-79.45,10.0,1989-07-01,2016-07-31,0.10923655192,0.550697746151
49,Minneapolis,USC00214884,44.978,-93.246,63.0,1992-06-01,2016-06-30,USR0000MCSA,45.302,-93.101,15.0,2003-05-01,2016-11-30,0.00611549183045,0.355575408149
50,Honolulu,USC00519397,21.271,-157.816,62.0,1965-01-01,2016-12-31,USC00519523,21.335,-157.711,24.0,1969-09-01,2016-12-31,0.0552353378869,0.149664014484
51,Seattle,USW00024234,47.53,-122.3,63.0,1948-01-01,2016-09-30,USC00454486,47.376,-121.961,15.0,1915-01-01,2016-11-30,0.0565593867471,0.425753949634
52,Phoenix,USC00028499,33.425,-111.921,63.0,1953-01-01,2016-12-31,USC00022109,34.305,-112.165,3.0,1930-07-01,2016-12-31,0.188199095305,0.770897114454
53,San Diego,USW00003131,32.815,-117.139,63.0,1998-02-01,2016-06-30,USC00043914,33.237,-116.761,4.0,1942-09-01,2016-12-31,0.0412966181352,0.591118999009
54,St. Louis,USC00237452,38.629,-90.27,63.0,1968-08-01,2016-12-31,USC00114629,37.984,-89.949,7.0,1974-04-01,2016-11-30,0.0306167067768,0.713087462345
55,New Orleans,USC00168941,29.91,-90.034,63.0,1997-09-01,2016-06-30,USR0000MHCK,30.615,-89.413,12.0,2002-12-01,2016-11-30,0.0852116298576,0.881750768768
56,Dallas,USW00013960,32.851,-96.855,63.0,1939-08-01,2016-12-31,USR0000TLBJ,33.172,-97.375,8.0,2000-01-01,2016-09-30,0.0344095352194,0.640385912145
58,Tampa,USC00087205,28.023,-82.142,63.0,1892-09-01 00:00:00,2016-10-31,USC00083153,27.57,-82.137,4.0,2001-08-01,2016-09-30,0.325617256054,0.495539978731
59,Philadelphia,USC00366886,39.957,-75.172,63.0,1994-03-01,2016-06-30,USC00361080,40.5,-75.204,14.0,1978-12-01,2016-11-30,0.0430198630475,0.501181718318
60,Detroit,USC00202015,42.319,-83.237,63.0,1952-08-01,2016-10-31,USC00206982,42.878,-82.795,12.0,2001-11-01,2017-01-31,0.157326443173,0.61774144394
61,San Francisco,USW00023272,37.77,-122.426,63.0,1921-01-01,2016-08-31,USR0000CSVA,37.562,-122.436,9.0,1998-10-01,2016-08-31,0.0453212881255,0.179615392317
62,Denver,USC00052223,39.729,-105.008,63.0,1997-11-01,2016-06-30,USC00057249,39.428,-105.07,8.0,1995-08-01,2016-08-31,0.0260581775802,0.322848649864
63,Houston,USW00012977,29.622,-95.656,63.0,2000-12-01,2016-10-31,USC00410586,29.914,-94.99,15.0,1946-06-01,2016-12-31,0.372911442953,0.362389735844
64,Miami,USC00083909,25.817,-80.285,63.0,1940-10-01,2016-12-31,USC00086406,25.86,-81.033,4.0,1978-06-01,2016-09-30,0.0676150903827,0.812126581616
65,Atlanta,USC00094700,33.531,-84.354,62.0,1994-09-01,2016-10-31,USC00094688,34.55,-84.25,5.0,2004-04-01,2016-11-30,0.302523764379,0.735435158769
66,Chicago,USC00111550,41.855,-87.609,63.0,2005-06-01,2016-10-31,USC00125174,41.264,-87.417,15.0,1963-07-01,2016-12-31,0.143254918411,0.656712296405
67,Los Angeles,USW00093134,34.051,-118.235,63.0,1906-04-01,2016-12-31,USR0000CCLE,34.271,-118.152,9.0,2002-11-01,2016-11-30,0.0821632481911,0.28241128227
68,"Washington, D.C.",USC00186350,38.913,-76.97,63.0,1948-08-01,2016-11-30,USC00185865,38.461,-76.699,10.0,1974-09-01,2016-12-31,0.0416502536319,0.537294382539
69,New York,USW00094728,40.778,-73.969,63.0,1876-01-01 00:00:00,2016-08-31,USC00281582,41.034,-74.423,25.0,1893-04-01 00:00:00,2017-01-31,0.0301088994337,0.526214684958
