City,slope,r,pvalueWald,pvalueT,anom_slope,anom_r,anom_pvalueWald,anom_pvalueT,mean UHI,mean rural,mean urban,mean_summer_tvsdt_m,mean_summer_tvsdt_r,mean_summer_tvsdt_p,trend_r,trend_r_p,trend_u,trend_u_p,hw_slope,hw_r,hw_pvalueWald,hw_pvalueT
Mesa,0.980421550093,0.889116226861,0.166487159189,0.16672991132,0.992814412171,0.89588939116,0.602700552,0.602791139591,0.9459183673469398,39.94015852047567,40.88237082066863,0.366303983277,0.454995705416,0.0883585679682,0.0060878070339,0.354684514028,0.0335865118569,0.131748452546,0.713753606998,0.408564842054,0.0447406381768,0.0468977326528
Grand Prairie,0.672976402924,0.720027047075,7.66595556376e-76,9.36039906553e-68,0.62640623621,0.675663843171,8.29210442312e-89,6.50030369849e-78,-0.3723467862481319,34.660771704180114,33.939717891611004,0.96696183547,0.937234446631,2.58653615896e-07,0.0615699265783,0.784902870191,0.0371309970466,0.611985917457,0.341794283464,0.24446488957,2.51196217101e-06,8.6366374945e-06
Irvine,0.675351899542,0.878620919176,8.26757766302e-264,2.25335175874e-195,0.702969311313,0.91619220007,0.0,1.49385367316e-222,-1.2070733290071414,29.632501599488172,28.444357976653723,0.414008467687,0.530090787269,0.0286131719548,-0.15969343423,4.19099575036e-06,0.0501913189659,0.360779582189,0.952274813164,0.640137554995,0.611439076075,0.612195398465
Fort Lauderdale,0.317800365517,0.374164355803,1.52015776066e-230,1.73938620182e-172,0.309753360828,0.364954608267,1.82424944311e-234,1.01932851214e-174,-1.4749821810406218,33.28599033816456,31.831114040870144,0.17518597774,0.305228471621,0.233526378172,0.0194290404653,0.30279610706,0.0773575593281,0.00484630163894,0.27006860634,0.114561138399,0.000149562191555,0.000217260308429
Long Beach,0.468140304301,0.498884117868,3.26773818861e-147,7.4656208933e-123,0.479704952488,0.518848334392,3.94493312906e-149,3.40527070166e-124,-1.3975687779910446,28.301535508637244,26.90453964194371,0.194700915825,0.159873370632,0.539923383692,-0.00762497306615,0.381730563303,0.043771312873,0.37773221121,-0.0354420004267,-0.0116304080703,3.56617782721e-05,5.94972493824e-05
Hartford,0.755275674395,0.740680623751,7.24337887513e-45,2.56980662383e-42,0.742481274651,0.733045294244,5.83680096685e-49,6.29190012908e-46,1.5716774193548424,26.499487179487158,28.073616473616493,0.953174843093,0.857419275546,1.08878069494e-05,0.0545728330351,0.127157049251,0.0931508702828,0.0812542135559,0.66963112857,0.303834200864,0.0590190209822,0.0610307447093
Providence,0.688424645301,0.618571982815,1.38521905436e-33,1.0534153781e-31,0.670784564344,0.605811254159,8.93822632529e-37,1.61284383702e-34,1.7708948740225885,25.66705805609914,27.41116751269037,1.27466912794,0.932072648276,3.5187086536e-06,-0.00541329504004,0.017956032599,0.124608368121,0.0916197165799,1.27038509265,0.401636818188,0.357928384192,0.360208871784
Virginia Beach,0.580261281095,0.553231763958,2.76411789775e-62,3.34544332747e-56,0.638917763294,0.604092775077,6.68163072215e-50,6.08110692762e-46,0.7029069767441853,29.663829787234064,30.113090909090893,-0.0868722016249,-0.0898269398235,0.750211310982,-0.147408910522,0.000362498714202,0.126893971612,0.0368650147282,0.6059919466,0.192269260139,0.144835225835,0.147228483148
Oakland,0.396338993638,0.704010428683,0.0,0.0,0.394046508332,0.702960054839,0.0,0.0,-4.4807609475951145,26.63319865319864,22.232880434782572,0.415084007058,0.702221655292,0.00167334509598,0.0492156663669,0.911650794149,0.0302839676657,0.42071667612,0.453053423084,0.242623771918,0.000320814652235,0.000442145265147
West Palm Beach,0.631720245163,0.591162984673,1.57582417349e-50,1.54600164916e-46,0.598088073992,0.582101072465,1.4537898339e-63,2.44522383498e-57,-0.7011419249592196,32.1348484848485,31.44063492063483,0.965280875895,0.669353700686,0.00883879474228,0.00591652301239,0.564005133413,-0.0145788300143,0.765026175769,0.169280794871,0.083623517716,7.74276611423e-07,2.12257186485e-06
Louisville,0.753540816496,0.75113832135,9.77005593711e-46,6.23061056014e-43,0.716362465189,0.729781419151,1.80560017017e-58,6.35124338456e-54,0.7431022649279347,29.705215711526076,30.496594005449563,1.03626869149,0.897673594531,2.39405753237e-06,-0.013789451841,0.0138739736245,0.0335207097889,0.64441781485,0.748461776331,0.388915760563,0.0864801536409,0.0886021869913
Columbus,0.762731619323,0.820401157376,2.19218769618e-67,1.3613038962e-61,0.753097493575,0.799382022419,1.92347520703e-64,3.95756268879e-59,1.3542989417989377,27.571112556929084,28.924366471734917,0.827314499689,0.96359832886,5.33485737598e-10,0.0192386778571,0.991614316368,0.0243907374134,0.679156383433,0.804764967156,0.392415388589,0.209518761725,0.211510167595
San Bernardino,0.746612800611,0.608678800302,1.01803312828e-18,3.72797241034e-18,0.73206822429,0.595936315032,3.12379081992e-20,1.44022745923e-19,4.594449262792711,29.376151560178293,34.05798192771086,0.770798793058,0.490465496823,0.0634243244914,-0.122780647674,0.0204750132414,-0.018174823857,0.806239712625,-0.086896806003,-0.0367923505894,1.21767874079e-07,4.92567635788e-07
St. Paul,0.707373647105,0.707753899343,8.65213515438e-48,3.20222562473e-44,0.672238131139,0.690327854726,9.47883133787e-60,3.07634602404e-54,-0.045121951219512076,27.026407613005563,27.125309849967365,1.19481732832,0.906044412564,8.08986036416e-06,-0.0641898569658,0.0412705962241,-0.110520348553,0.0899868696655,0.806173524418,0.500373981248,0.0920516390139,0.0941735957204
Tucson,0.665310799126,0.782767743501,7.33250506316e-115,7.04145335776e-97,0.720592225884,0.81571113854,2.95311780764e-86,1.12621785397e-75,11.625500770416009,26.525000000000013,38.3515591007977,0.125036462166,0.274336735892,0.32242705304,0.222773174454,0.0282482128773,0.00472284315064,0.888746766489,0.571584103083,0.454992410084,4.31572057274e-06,9.351402352e-06
Fresno,0.665926999766,0.684094611359,3.08309118506e-66,5.44019287105e-60,0.708871006038,0.747725225467,4.67854679722e-64,3.36431558015e-58,-0.2549738219895288,36.55677154582758,36.20397212543558,0.105937868187,0.266263476132,0.30159859649,0.171377886949,0.873604386526,0.210752612319,4.80244113967e-06,0.541762822529,0.284162095629,0.00301547292041,0.00354672608778
Albuquerque,0.71187363488,0.748824351245,8.16462935089e-50,2.23613238862e-45,0.695971481435,0.760795588924,5.20486643395e-62,3.00985230086e-55,0.9630331753554535,32.97271952259162,34.15364806866958,0.93244594432,0.58071271424,0.0232109967793,-0.0250445550417,0.0212045493421,-0.143703326198,0.00831234138854,0.787739475077,0.383267772957,0.197232619709,0.199470549602
Kansas City,0.853900171587,0.901108421941,1.58470246692e-40,2.99581770983e-38,0.886835227972,0.911147893167,3.85758707757e-26,3.3203306461e-25,-0.5610518834399448,30.65613919894944,30.07962447844223,0.658626681212,0.839350377678,2.52123077288e-05,0.000575969999045,0.539069382101,-0.0284016844696,0.696549930348,0.995944529334,0.691422651372,0.964422670627,0.964490590696
Ft. Worth,0.647543964326,0.745609946375,8.89115247675e-97,1.44649678803e-82,0.610479867975,0.700774999742,2.15438361035e-102,1.24870268811e-86,-0.10688190314358462,35.43551401869161,35.19443734015346,0.782373771803,0.893321963519,1.68473886124e-05,0.0184928758839,0.00166711056877,0.102024722933,0.181049028354,0.46512189443,0.238376325004,0.000595001243809,0.000772009395138
Austin,0.695189823419,0.719389925234,4.00068304487e-51,1.26923130407e-46,0.575907560961,0.619130440677,2.10324680624e-82,3.04802492138e-71,0.12511373976342144,35.20269058295957,35.60227272727277,0.945769291344,0.911890361778,3.60163999928e-05,0.112050101256,0.0201495491926,0.015974305973,0.923828276334,0.657027140512,0.368080439171,0.0198690566977,0.0214486592236
Indianapolis,0.805056703168,0.887922529536,2.67773342721e-65,3.26021185207e-59,0.791267564697,0.881845387521,1.57463648789e-72,4.35494789939e-65,-0.9433707865168566,29.95932584269661,28.892902813299205,0.869114489588,0.91691350468,1.52341323745e-06,0.018297034419,0.948406835237,0.0621856351236,0.412195750727,0.954952739258,0.703848959627,0.569611800502,0.570473615065
Baltimore,1.0650796777,0.903120404172,3.95479434443e-07,4.42835621106e-07,1.05878743218,0.915462886876,6.22012570008e-07,6.91461574161e-07,2.529890955740866,28.23708439897701,30.744451490171286,1.11789431992,0.807115629247,8.99537044101e-05,0.0271579283887,0.171922090762,0.0478131802039,0.45046415449,0.958025085427,0.582031152536,0.703779899804,0.704328722749
San Jose,0.498401344569,0.615095682092,1.91469500244e-206,3.11211423751e-161,0.500643281152,0.613580579252,3.1515285063e-201,5.44468100088e-158,2.0594629993451212,24.57979071288423,26.640396927016614,0.427645282327,0.730899483565,0.000859063438899,0.0268896433014,0.502151556683,0.00839289097281,0.724551399391,1.40230495182,0.469637203321,0.0633703235002,0.0653583360135
Sacramento,0.918334402935,0.946928282057,4.63153113432e-25,2.76750039323e-24,0.920857224272,0.953034025676,1.33375554028e-26,1.00793273798e-25,-0.41448717948718067,34.05910256410255,33.64482097186691,0.825159478948,0.758459520282,0.000417181144558,0.0546380565418,0.0144874476895,-0.00787777067349,0.851199357251,0.883105361636,0.671542695674,0.144442090052,0.146561348998
Las Vegas,0.878198253477,0.876837377177,3.70406674475e-21,1.49970123604e-20,0.882134750172,0.878762309002,4.22676646678e-20,1.48373190759e-19,1.147885304659504,37.79806795469696,38.917215363511644,0.752011388863,0.808322381148,0.000151006407145,-0.0415581715495,0.225715679175,-0.0208875743473,0.599866819226,0.778015655171,0.535676864608,0.0368533115088,0.0387616529047
Portland,0.84028716065,0.888535815329,4.61988922657e-42,1.5345892133e-39,0.837652528513,0.886878181987,6.21182660191e-43,2.62757090532e-40,1.7330402930402664,24.736688548504713,26.346983311938377,0.880099366738,0.919512091174,1.2470930064e-06,0.0747535171743,0.0680757409978,0.0556450520565,0.398911511975,0.877159398944,0.566022745493,0.242098790767,0.243979137495
Salt Lake City,0.805086956163,0.863438506412,3.53819228212e-57,6.87893824592e-53,0.821570428133,0.862037655688,8.46437154774e-46,4.98767580196e-43,6.61829844699528,24.410758263123796,30.961917443408794,0.542245484552,0.779788821985,0.000223085618479,-0.143548703645,0.000459882767242,-0.0150094534359,0.785739969919,0.607532092345,0.503682199956,2.35942377187e-05,4.49558374746e-05
Omaha,0.642407390124,0.651712284212,3.37211831727e-79,1.74426359465e-71,0.607735143494,0.616768109627,2.51661916582e-88,7.83900196206e-79,0.34176319176319153,29.59356499356496,29.926534526854187,0.924779507044,0.939733113145,2.18266243356e-08,-0.061359891411,5.49318478577e-06,0.0214887041773,0.762937119689,0.522583265638,0.165613602668,0.0619834015731,0.0639620756682
Raleigh,0.607385631602,0.680498149794,8.6514976677e-83,6.06284684656e-71,0.574703426503,0.651742991374,1.13561685872e-92,4.30200436491e-78,0.9802516940948697,31.053427230046907,31.742297650130524,0.927197566229,0.932564801092,3.38401222667e-06,0.0184675300342,0.0143023320784,0.122931486044,0.0379147048711,0.697726938297,0.374451488383,0.0351454369279,0.036867540578
Cleveland,0.652967103776,0.622366539435,1.52809689001e-62,1.13132563186e-57,0.613234978083,0.584183656933,6.88745776987e-72,1.63963633291e-65,1.123111395646609,26.02522407170301,27.15159846547316,0.976617901125,0.93383040266,4.32304561056e-08,0.0285620895515,0.0206375337404,0.0804720801364,0.228278326664,0.441069483263,0.137540881494,0.032296290603,0.0339345446692
Cincinnati,0.698320968358,0.673558145501,1.81844107355e-41,1.17211499144e-38,0.658362922514,0.632648471071,8.44411791208e-48,4.4008344405e-44,-0.06156462585034007,28.962988115449917,29.155249679897512,0.474522289339,0.775229339276,0.001124672577,0.0575062188787,0.00288473545412,-0.0227417137424,0.718168954698,0.966306823854,0.604968316466,0.747236174711,0.74769097553
Nashville,0.683682664291,0.802167650456,6.29370228587e-77,2.68107012207e-65,0.709943602362,0.798043122233,9.67569248708e-59,1.02463050072e-51,1.6052572706935107,29.811392405063316,31.266239316239403,0.619427576669,0.811241124119,0.000241919215313,-0.0191060220206,0.75262390473,0.0564505731949,0.513153519953,0.961958749948,0.808929979088,0.552796418198,0.553922997301
Memphis,0.716320716032,0.792961784219,6.75245371214e-85,1.77527983596e-75,0.722972145247,0.783674129017,6.559049267e-75,1.74440349066e-67,-0.26437021572721037,32.53707064160727,32.298079561042506,0.679777543729,0.878968003383,3.40080903013e-06,0.00899912116393,0.0228880877889,-0.0559396632845,0.2212370166,1.02699067278,0.623885886453,0.806015212596,0.80638270828
Norfolk,0.642791101883,0.583922959149,5.50492785919e-41,3.92775983886e-38,0.627984257776,0.568520433323,6.5996147279e-43,8.77333057236e-40,-1.7240461401952063,32.03661347517735,30.244444444444504,0.928089965975,0.876741253991,8.3586296839e-05,0.0271908730506,5.73230992542e-06,-0.0321429621501,0.558295679286,0.620999091373,0.209024940825,0.112510739677,0.114644940961
Milwaukee,0.838966802869,0.785394770475,2.9829536259e-15,7.46333273194e-15,0.836627580237,0.770316238464,2.10603753536e-14,4.73797612343e-14,-0.0037072243346009414,27.007898172323717,27.199537892791184,0.840555821822,0.9278114567,1.36650140554e-05,0.0247659682602,0.641070018314,-0.0591069262215,0.599033632625,0.658898764362,0.473844976364,0.00607891951384,0.00724185986984
Buffalo,0.602253530219,0.638651350258,1.15864860527e-69,4.08177017478e-61,0.573214364012,0.607713617591,4.07326046448e-75,2.85377881316e-65,2.942196531791906,24.469267822736036,27.152090301003348,0.967194923036,0.958018594709,9.56980332459e-07,-0.0538314537164,0.0121281399607,0.0814381270903,0.412467745689,0.780486708357,0.315173425144,0.2558300037,0.257666589674
Pittsburgh,0.790983701387,0.773588336496,6.05187712591e-28,1.18238194063e-26,0.830132160229,0.79427766747,1.01162955915e-19,4.29126515671e-19,0.2409169550173011,27.873693086003396,28.15151315789474,0.422272446184,0.430941251924,0.0841750476117,-0.106682533049,0.00090071674254,0.0530885848946,0.370330388508,0.75069712347,0.411495199047,0.070030792501,0.0720860168683
Minneapolis,0.755882365513,0.76776664927,2.37023805195e-42,1.43808220243e-39,0.725975971416,0.757568176762,9.05258360542e-54,2.53921477128e-49,0.723794212218649,27.026407613005563,28.100463883366476,1.10084735308,0.88447418682,2.66409290141e-05,-0.0641898569658,1.12099393055e-05,-0.222192801707,0.00197559970793,0.827892191192,0.511564892997,0.133455105372,0.1355999172
Honolulu,0.586403484902,0.544046910652,2.75295870266e-69,4.58867558389e-63,0.4716877309,0.503857072682,2.09585599824e-139,2.18034050382e-116,1.6641025641025553,29.154836601307657,30.831419141913848,1.08113200489,0.703647225794,0.00162169427746,-0.0225103405655,0.964791747706,-0.0247902955091,0.44006134942,0.208248163893,0.0855822978762,8.89366388679e-05,0.000137001801796
Seattle,0.771026556371,0.942041339408,2.05440406677e-221,1.5455220954e-168,0.752898506351,0.943088963187,2.40657192384e-275,7.61441120482e-199,0.6333792154163813,23.24491467576792,23.898582474226785,0.906340258753,0.89551378084,1.18676400942e-06,0.0610983688305,0.00895706912662,0.105410805627,0.162508312782,0.692505166784,0.628339154207,1.92228264762e-05,3.50491536507e-05
Phoenix,0.679604004237,0.853124802528,2.78048618183e-177,1.58399412731e-139,0.682941777632,0.867729611056,9.99231964795e-196,7.11671217572e-151,5.2821060382915945,34.85705604321406,40.20104311543814,0.362934121137,0.336756439988,0.186259765782,-0.0444588916301,0.756150686914,0.00815270475939,0.804814871392,0.329946265416,0.222687952155,2.08124164315e-08,1.00758560412e-07
San Diego,0.510027661914,0.600417824258,1.29582531869e-177,2.34262342948e-143,0.522658821338,0.632581054432,8.06288405663e-190,2.72170767163e-151,-7.4249678249678315,33.10365853658538,25.686217948717935,0.279419122164,0.227790067252,0.379235322434,-0.0938862885362,0.00586187345819,0.0761340940129,0.206781357978,0.487763614412,0.143569129693,0.0638211216584,0.0658120808766
St. Louis,0.948315555686,0.891200238746,0.000225015140964,0.000235203944365,0.938532194268,0.887323456522,1.41345130397e-05,1.53391933558e-05,-0.3519764507989913,31.727303988995832,31.263953488372096,0.93092399159,0.855910997495,4.68657938995e-05,-0.0044174663733,0.450203831222,0.075359438908,0.42230435163,0.955818247349,0.650296133283,0.674034752293,0.67483358618
New Orleans,0.445800112578,0.527657464551,1.33165834451e-163,1.05909588788e-128,0.411193327001,0.486831328123,1.32309942014e-174,1.65398846806e-135,-0.5994391025641044,33.58055999999998,32.96145966709346,0.731210790779,0.861754871217,7.43241497107e-05,0.0347723025918,0.400466062238,0.00125124325092,0.974140863806,0.498692461729,0.335432617646,1.42708624231e-05,2.64023548776e-05
Dallas,0.820734561564,0.938179940756,2.22984743407e-120,1.90438677545e-103,0.829242583575,0.929417006463,7.7355617136e-93,2.06189012959e-82,0.5881672025723513,34.660771704180114,35.24641943734013,0.784491487768,0.976863150243,1.85232431342e-11,0.0615699265783,0.395723030244,0.0816709292413,0.250370799388,0.744633559903,0.774590487972,3.22798628729e-07,9.81113976994e-07
Philadelphia,0.719486828435,0.721113729237,4.41647003947e-54,3.51408120118e-50,0.705479192475,0.710948944872,2.37517245136e-58,7.96366949903e-54,2.429972565157744,28.048356164383602,30.409987195902634,0.805352119826,0.744964532713,0.000600814819772,0.0932368222026,0.0253625787214,0.00176541631145,0.977217475601,0.419918351609,0.176503639291,0.00258193292324,0.00303835514139
Detroit,0.703407307688,0.744902209738,1.00989401954e-61,6.63287438394e-56,0.687240334267,0.748952909524,2.496751117e-73,3.04672309563e-65,1.0756843800322036,27.041746854182133,28.238170563961457,0.731091155286,0.673908855125,0.00587292547306,0.0464615846021,0.00124289497866,-0.097104611991,0.188936023892,0.824807109694,0.508500371043,0.140606709691,0.142884086638
San Francisco,0.363628728206,0.687310539026,0.0,0.0,0.361805491568,0.694868031742,0.0,0.0,-1.483506044905008,20.642746113989677,19.24833759590789,0.411742599899,0.563042280673,0.0451234302342,-0.0386913953066,0.420905479478,-0.00296248934356,0.935378566872,1.03626591843,0.57962732756,0.762012127048,0.762437360361
Denver,0.955532729784,0.890398581461,0.000707670484672,0.000727512449878,0.966610494885,0.895503984302,0.00971752780449,0.00981894583588,3.510606060606064,28.568116975748914,31.934712346476964,0.795161466996,0.811992011354,0.000133276998471,-0.0359583853592,0.39565002115,-0.00684270319292,0.919454048996,0.970067987627,0.413054700984,0.86526456217,0.865497843186
Miami,0.354588395425,0.465624278941,4.01405862117e-300,1.56285685816e-213,0.340854473346,0.462273001971,0.0,6.37513941857e-230,-1.8995991983967946,33.95472061657037,32.05919999999985,0.567555470057,0.530266159018,0.0285507841152,0.0241215874621,0.0262585185675,-0.0281560210237,0.274438957482,-0.0208550925918,-0.0140549682529,2.42089397228e-16,1.30065803938e-13
Chicago,0.710927165519,0.573649995031,1.37888505306e-20,7.57461483689e-20,0.669380623808,0.547204121835,5.20029780578e-26,8.23688943199e-25,-0.9804490177736206,27.715319974143497,26.8695211786372,1.04820399556,0.772120268751,0.00325311816318,-0.0216050369423,0.537635224262,-0.168179149584,0.257945521788,0.319603662945,0.105296394049,0.0249057843304,0.0271353986242
Los Angeles,0.510137423604,0.700696193296,2.47873061007e-250,1.29298252018e-179,0.500051842446,0.70494612535,1.06957441243e-277,9.80557803133e-194,-1.3214618973561443,28.738335925349872,27.34136828644499,0.843262187882,0.710740263822,0.00438203423895,-0.0103639027003,0.847260768927,0.0190750213129,0.688296999021,0.764975710015,0.292096452647,0.253648993977,0.255492605903
"Washington, D.C.",0.898880512925,0.833683327825,1.38501139638e-10,1.87975216363e-10,0.90927241974,0.843954221448,2.98617790895e-09,3.74101741026e-09,2.4879720279720323,28.58829174664106,30.951851851851888,0.78266159988,0.715716205355,0.00182249125953,0.0149720005059,0.496869005043,0.076764937127,0.141750838542,0.92873787537,0.554863338254,0.59655606799,0.597652627986
New York,0.656977619985,0.653704341892,7.17692598951e-65,3.40670927635e-59,0.635340601845,0.641365541083,3.62671127761e-73,5.17528348447e-66,0.8500702247191011,27.23609550561796,28.118861892583123,0.992646912747,0.818325755205,5.94416588585e-05,0.00310286112658,0.000862075696736,0.0958146845695,0.0950379460404,0.779991394069,0.291798756049,0.295164405728,0.296871075056
